STATION,STATION_NAME,DATE,HPCP
COOP:048332,SODA SPRINGS 1 E CA US,19611115 17:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611115 18:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611115 19:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611115 21:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611115 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611116 03:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611116 04:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611116 05:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611119 19:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611119 20:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611119 22:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611119 23:00,0.03
COOP:048332,SODA SPRINGS 1 E CA US,19611120 00:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611120 01:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611120 02:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611120 03:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611120 04:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611120 05:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611120 06:00,0.15
COOP:048332,SODA SPRINGS 1 E CA US,19611120 07:00,0.14
COOP:048332,SODA SPRINGS 1 E CA US,19611120 08:00,0.17
COOP:048332,SODA SPRINGS 1 E CA US,19611120 09:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611120 10:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611120 12:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611120 19:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611120 20:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611120 21:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611120 22:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611120 23:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611121 03:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611121 06:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611121 08:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 00:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 01:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 02:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 03:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 04:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611122 05:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611122 06:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611122 07:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611122 08:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611122 09:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 11:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 13:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 15:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611122 17:00,0.01
